INDEX,À½½Ä¸í,·çÅ×ÀÎ(mg),ºñÅ¸¹ÎA(ug),ºñÅ¸¹ÎD(ug),ºñÅ¸¹ÎE(mg),ºñÅ¸¹ÎK(ug),ºñÅ¸¹ÎC(mg),ºñÅ¸¹ÎB2(mg),¾Æ¿¬(mg),¼¿·»(ug),Ã¶(mg),¸¶±×³×½·(mg),EPA(mg),ÇÁ·Î¹ÙÀÌ¿ÀÆ½½º(CFU),½Ç¸®¸¶¸°(mg),³ªÀÌ¾Æ½Å(mg),¿Ã¸®°í´ç(g),Ä®½·(mg),ºñÅ¸¹ÎB6(mg),º£Å¸Ä«·ÎÆ¾(mg),ÆÇÅäÅÙ»ê(mg),ºñ¿ÀÆ¾(ug),¸Á°£(mg),Å©·Ò(ug),¿±»ê(ug),±¸¸®(mg),¸ô¸®ºêµ§(ug)
121,Ä®±¹¼ö,0.15,6.25,0.075,0.25,2.25,2.75,0.15,1.25,15,1.5,25,2.5,500,0,3.5,0.5,30,0.375,0.375,0.5,7.5,0.375,3.5,40,0.15,4
122,Åä¸¶Åä½ºÆÄ°ÔÆ¼,0,76,0.7,0.7,3,3,0.3,0.7,3,1,35,0,0,0,3,22,30,0.3,150,0.7,3,0.3,7,35,0.3,7
123,Å©¸²½ºÆÄ°ÔÆ¼,0,76,0.7,0.7,3,3,0.3,0.7,3,1,35,0,0,0,3,22,30,0.3,150,0.7,3,0.3,7,35,0.3,7
124,±î¸£º¸³ª¶ó,0,76,0.7,0.7,3,3,0.3,0.7,3,1,35,0,0,0,3,22,30,0.3,150,0.7,3,0.3,7,35,0.3,7
125,ÀÜÄ¡±¹¼ö,0.01,30,0.5,0.5,2,5,0.1,0.5,5,1,20,0,0,0,2,30,20,0.1,1000,0.5,5,0.2,10,50,0.1,10
126,ÇØ¹°ÆÄÀü,0,50,0.5,1,5,5,0.1,1,10,1,20,50,0,0,2,5,50,0.1,100,0.5,2,0.5,10,50,0.2,10
127,»§,0,15,0.25,0.25,3,0.5,1,0.75,7.5,0.75,10,0,0,0,2.5,7.5,25,0.25,25,0.25,2.5,0.25,10,30,0.3,10
128,ÄÉÀÌÅ©,0,40,0.25,0.25,2.5,0.25,0.1,0.75,7.5,0.75,10,0,0,0,3,30,30,0.25,30,0.3,2.5,0.25,10,30,0.3,10
129,È«»ï,0,5,0.5,0.5,0.25,5,0.25,0.05,0.05,0.05,10,0,0,0,2.5,2.5,25,0.25,5,0.25,0.25,0.25,10,25,0.25,10
130,¶ó¸é,0,10,0.5,0.5,0.25,5,0.25,0.5,5,0.5,10,0,0,0,2.5,15,25,0.25,5,0.25,0.25,0.25,10,25,0.25,10
131,Á¦À°ººÀ½,0,75,0.1,0.1,12.5,12.5,0.25,1.5,15,1.5,25,0,0,0,7.5,7.5,25,0.3,75,0.75,3.5,0.75,15,75,0.25,15
132,Ãß¾îÅÁ,0,25,1,1,5,5,0.25,1,5,1.5,15,125,0,0,2.5,2.5,30,0.25,25,0.5,3,0.25,10,30,0.25,10
133,´ßººÀ½ÅÁ,0,25,1,1,5,5,0.25,1,5,2,15,0,0,0,2.5,2.5,30,0.25,25,0.5,3,0.25,10,30,0.25,10
134,°¨ÀÚÅÁ,0,25,1.25,1,5,5,0.25,1,5,2,15,0,0,0,3,2.5,30,0.25,25,0.5,3,0.25,10,30,0.25,10
135,ºÎ´ëÂî°³,0,25,1.25,1,5,5,0.25,1,5,1.5,20,0,0,0,3,0.25,30,0.25,25,0.5,3,0.25,10,30,0.25,10
136,¼Ò¼¼Áö,0,25,1,1,5,5,0.25,1,5,1.5,15,0,0,0,3,2.5,30,0.25,25,0.5,3,0.25,10,30,0.25,10
137,¸¸µÎ,0,30,1,1,5,5,0.25,0.1,5,2,20,0,0,0,2,2,25,0.25,0.25,0.5,2.5,0.25,10,20,0.2,10
138,²Éµî½É,0,20,1,1,5,5,0.25,1,5,2,20,0,0,0,2,2.5,20,0.25,25,0.5,2.5,0.25,10,25,0.25,10
139,¶±¸¸µÔ±¹,0,25,1,1,5,5,0.25,1,5,2,20,0,0,0,3,0,20,0.25,,250,0.5,5,0.5,30,0.25,25
140,À°°³Àå,0.1,100,0.5,0.5,5,10,0.2,2,15,2,25,0,0,0,4,0,30,0.2,600,1,5,0.2,2,30,0.1,10
141,°¥ºñÂò,0.1,50,0.5,1,5,10,0.3,5,30,3,20,0,0,0,5,0,30,0.4,200,1,5,0.3,2,20,0.1,10
142,¿ù³²½Ó,1,300,0.1,2,50,15,0.2,1,5,2,20,0,0,0,2,0,30,0.1,1,0.3,2,0.2,1,50,0.1,5
143,»þºê»þºê,1,300,0.2,2,60,20,0.3,2,7,3,30,0,0,0,4,0,40,0.2,1.5,0.5,3,0.3,2,60,0.1,6
144,Äá³ª¹°±¹,0.1,20,0,0.5,3,10,0.1,0.5,1.5,0.5,15,0,0,0,0,0,20,0.1,0.05,0.2,1,0.1,0.1,30,0.05,2
145,ºÏ¾î±¹,0.05,15,0.1,0.3,2,5,0.1,0.4,1.2,0.4,12,0,0,0,0.6,0,15,0.05,0.02,0.15,1,0.05,0.1,20,0.03,1.5
146,°öÃ¢,0.02,10,0.2,0.5,2,1,0.1,2.5,10,2.5,15,0,0,0,1.5,0,10,0.1,0.01,0.2,2,0.1,1,5,0.1,2
147,±èÄ¡Àü,0.02,120,0,0.6,10,5,0.1,0.6,2.5,0.8,15,0,0,0,1,0,20,0.1,0.1,0.2,2,0.3,1,20,0.1,2
148,±ïµÎ±â,0.01,15,0,0.1,2,20,0.03,0.2,1.5,0.3,10,0,0,0,0.6,0,30,0.04,0.05,0.1,1,0.1,0.2,5,0.02,1
149,¹«¸»·©ÀÌ,0.01,0,0,0.5,0,0,0.02,0.2,1,0.8,10,0,0,0,0,0,20,0.03,0,0,1,0.1,0.2,5,0.02,1
150,¸êÄ¡ººÀ½,0.01,50,0,0.5,5,2,0.1,1,5,2,20,100,1000,5,4,2,50,0.1,50,1,10,0.5,10,20,0.1,10
151,»÷µåÀ§Ä¡,0.01,20,0.5,0.5,5,10,0.1,0.5,5,1,10,0,0,0,2,20,50,0.1,500,0.5,5,0.1,10,20,0.1,10
152,³Ã¸é,0.02,30,1,0.2,10,5,0.1,1,5,1,20,0,0,0,2,30,20,0.1,500,0.5,5,0.1,10,20,0.1,10
153,°¥Ä¡±¸ÀÌ,0.05,100,2,1,2,2,0.2,0.5,10,1,20,300,0,0,10,0,10,0.1,500,1,5,0.1,10,20,0.1,10
154,Æ÷µµ,0.01,10,0,0.2,14,10,0.01,0.1,0.1,0.3,10,0,0,0,0.1,15,20,0.1,50,0.1,2,0.1,5,2,0.1,5
155,»ç°ú,0.01,7.5,0,0.2,5,10,0.01,0.1,0.15,0.05,10,0,0,0,0.1,12,7,0.01,7,0.1,1.5,0.01,1.5,1.5,0.01,1
156,Åä¸¶Åä,0.1,600,0,0.5,10,15,0.05,0.2,"1,5",0.25,13,0,0,0,0.7,2.5,7.5,0.1,600,0.1,1.5,0.05,1.5,15,0.02,2.5
157,¼ö¹Ú,0.01,150,0,0.1,1.5,9,0.02,0.15,0.15,0.25,13,0,0,0,0.25,7,13,0.05,150,0.1,1.5,0.02,1.5,15,0.01,2
158,Âü¿Ü,0.01,250,0,0.1,3.5,15,0.02,0.15,0.15,0.25,13,0,0,0,0.25,7,13,0.05,150,0.1,1.5,0.05,1.5,10,0.02,1.5
159,Åä½ºÆ®,0.01,20,0.5,0.5,5,10,0.1,0.5,5,1,10,0,0,0,2,20,50,0.1,500,0.5,5,0.1,10,20,0.1,10
